id_comentario,id_cliente,id_producto,calificacion,texto_comentario,fecha_comentario,texto_preprocesado,sentimiento,score
1,1,2,5,"El Smartphone Nexus 5G es un cambio de juego. La pantalla OLED es vívida, la cámara de 108MP captura detalles impresionantes incluso en condiciones de baja luminosidad, y el procesador ultrarrápido hace que todo se sienta increíblemente fluido. La duración de la batería es asombrosa, superando fácilmente mis días más largos de uso intensivo con navegación, redes sociales y juegos. La carga rápida de 65W es un salvavidas cuando necesito un impulso rápido de energía.",2024-05-20,smartphonir nexus g cambio juego pantalla oled vívir cámara captura detalle impresionante condición bajo luminosidad procesador ultrarrápido sentar increíblemente fluido duración batería asombroso superar fácilmente largo intensivo navegación red social juego carga rápido salvavidas necesitar impulso rápido energía,5 stars,0.6362859606742859
2,2,4,4,"La Camiseta Deportiva Ultralight es muy cómoda para mis entrenamientos matutinos. El material es ligero y transpirable, se siente muy bien en la piel. Sin embargo, la talla L es un poco más ajustada de lo que esperaba en los hombros. Aún así, es un gran producto para el gimnasio y se seca rápidamente después de sudar, lo que evita esa sensación de humedad tan desagradable.",2024-05-21,camiseta deportivo ultralight cómodo entrenamiento matutino material ligero transpirable sentir piel talla l ajustado esperar hombro producto gimnasio secar rápidamente sudar evitar sensación humedad desagradable,4 stars,0.3437025845050812
3,3,1,5,"La Laptop Gamer Pro es una bestia de rendimiento. Ha superado todas mis expectativas en juegos y edición de video. Con el procesador Intel Core i9 y la RTX 4080, los tiempos de renderizado son casi inexistentes. El sistema de refrigeración es eficiente y el diseño es elegante, no parece una laptop gamer típica con luces exageradas. El teclado mecánico retroiluminado es un placer de usar para escribir y jugar. Realmente vale cada centavo.",2024-05-22,laptop gamer pro bestia rendimiento superar expectativa juego edición video procesador intel core rtx tiempo renderizado inexistente sistema refrigeración eficiente diseño elegante laptop gamer típico luz exagerada teclado mecánico retroiluminado placer escribir jugar realmente valer centavo,4 stars,0.26941731572151184
4,4,5,3,"Las Zapatillas Urbanas Fit tienen un diseño muy atractivo, pero me resultaron bastante rígidas en la primera semana de uso. La suela no se dobla bien al caminar. Espero que con el tiempo se adapten a la forma de mi pie, porque por ahora no son tan cómodas como esperaba para caminatas largas. La calidad del material parece decente, pero el confort es un problema.",2024-05-23,zapatilla urbano fit diseño atractivo resultar rígido semana suela doblar caminar esperar tiempo adaptar forma pie cómodo esperar caminata larga calidad material decente confort problema,3 stars,0.43352919816970825
5,5,3,4,"Los Auriculares Inalámbricos X ofrecen un sonido nítido y potente. La conexión Bluetooth es estable y no se interrumpe, lo cual es muy importante para mí. La única pega es que la cancelación de ruido no es tan efectiva en ambientes muy ruidosos, como el transporte público o una cafetería llena de gente. Aún así, para escuchar música en casa o en la oficina, son perfectos.",2024-05-24,auricular inalámbrico x ofrecer sonido nítido potente conexión bluetooth estable interrumpir importante único pega cancelación ruido efectivo ambiente ruidoso transporte público cafetería lleno gente escuchar música casa oficina perfecto,4 stars,0.4272591471672058
6,6,6,5,"'El Círculo Mágico' es una lectura absorbente y fascinante. La construcción del mundo es compleja y está llena de detalles que te sumergen por completo en la historia. Los personajes están muy bien desarrollados y sus motivaciones son creíbles. Una joya para los amantes de la fantasía épica, me dejó con ganas de más. La trama tiene giros muy inesperados que te mantienen al borde del asiento. Lo recomiendo encarecidamente.",2024-05-25,círculo mágico lectura absorbente fascinante construcción mundo complejo lleno detalle sumergen completo historia personaje desarrollado motivación creíble joya amante fantasía épico gana trama giro inesperado mantener borde asiento recomeir encarecidamente,5 stars,0.5599901676177979
7,7,7,5,"El Set de Ollas Premium es una inversión fantástica. Cocinar con ellas es un placer; el calor se distribuye de manera uniforme por toda la base, evitando que los alimentos se quemen en una sola área. La limpieza es sorprendentemente fácil, incluso los restos de comida más pegados se quitan sin esfuerzo. Se ven muy duraderas y el acabado de acero inoxidable es muy elegante en mi cocina.",2024-05-26,set olla premium inversión fantástico cocinar placer calor distribuir uniforme base evitar alimento quemar área limpieza sorprendentemente fácil resto comida pegado quitar esfuerzo ver duradero acabado acero inoxidable elegante cocina,5 stars,0.7454773783683777
8,8,8,5,"El Balón de Fútbol Pro tiene un agarre excepcional y un peso perfecto para driblar y disparar con precisión. La cubierta texturizada me permite tener un control total en el campo. Se siente muy robusto y de alta calidad, ideal para partidos intensos y entrenamientos. La cámara de aire retiene muy bien la presión, no he tenido que inflarlo en semanas. Es un balón de gran rendimiento.",2024-05-27,balón fútbol pro agarre excepcional peso perfecto driblar disparar precisión cubierta texturizada permitir control campo sentir robusto alto calidad ideal partido intenso entrenamiento cámara aire retener presión inflar él semana balón rendimiento,5 stars,0.7253119945526123
9,9,9,4,"La Mochila Urbana Tech es muy práctica. Me encanta el compartimento para el portátil y los múltiples bolsillos que me ayudan a mantener todo organizado. Sin embargo, el material me parece un poco delgado y no estoy seguro de que aguante mucho peso a largo plazo. El puerto USB es un detalle muy útil para cargar mi teléfono en movimiento, pero la calidad del material me deja con dudas.",2024-05-28,mochilo urbana tech práctico encantar compartimento portátil múltiple bolsillo ayudar mantener organizado material delgado seguro aguantar peso plazo puerto usb detalle útil cargar teléfono movimiento calidad material dejar duda,5 stars,0.4790897071361542
10,10,10,5,"La Cámara de Acción 4K es una maravilla para mis viajes. La calidad de video es increíble, incluso bajo el agua. Es muy fácil de usar gracias a su pantalla táctil y los menús son intuitivos. La carcasa protectora es muy resistente a los golpes y el agua. He grabado videos de buceo espectaculares sin ningún problema. La estabilización de imagen es fantástica para tomas en movimiento.",2024-05-29,cámara acción maravilla viaje calidad video increíble agua fácil gracias pantalla táctil menú intuitivo carcasa protectora resistente golpe agua grabar video buceo espectacular problema estabilización imagen fantástico toma movimiento,5 stars,0.664955735206604
11,11,1,4,"El rendimiento de la Laptop Gamer Pro es excepcional, pero la duración de la batería es un punto débil. Para tareas básicas dura un par de horas, pero para gaming tengo que mantenerla conectada la mayor parte del tiempo, lo cual limita un poco su portabilidad. Ideal para un escritorio, pero no para llevarla de un lado a otro.",2024-05-30,rendimiento laptop gamer pro excepcional duración batería punto débil tarea básico durar par hora gaming mantener él conectado tiempo limitar portabilidad ideal escritorio llevar él,4 stars,0.43240830302238464
12,12,2,3,"El Smartphone Nexus 5G es rápido, pero las fotos que toma en condiciones de poca luz son granuladas y pierden nitidez. Esperaba un mejor desempeño en fotografía nocturna. No es un teléfono para los amantes de la fotografía con poca luz.",2024-05-31,smartphonir nexus g rápido foto tomar condición luz granulado perder nitidez esperar desempeño fotografía nocturno teléfono amante fotografía luz,3 stars,0.3188510835170746
13,13,3,5,"El mejor par de auriculares que he tenido. La calidad de audio es espectacular, y la almohadilla es muy suave y cómoda, perfecta para largas sesiones de música o videollamadas. La cancelación de ruido funciona muy bien en entornos de oficina.",2024-06-01,par auricular calidad audio espectacular almohadilla suave cómodo perfecto larga sesión música videollamada cancelación ruido funcionar entorno oficina,5 stars,0.5743916630744934
14,14,4,5,"La camiseta es perfecta para todo. El material es suave, no irrita la piel y no se deforma al lavarse. Ya he comprado varias en diferentes colores. Es muy fresca y no retiene el sudor, lo cual es ideal para el calor.",2024-06-02,camiseta perfecto material suave irritar piel deformar lavar él comprar color fresco retener sudor ideal calor,5 stars,0.6062828302383423
15,15,5,2,"Estas zapatillas me decepcionaron. Se sintieron muy rígidas desde el primer momento y el soporte para el arco es inexistente. No las recomiendo para caminatas largas, me causaron dolor en los pies. La suela es muy dura y no amortigua bien.",2024-06-03,zapatilla decepcionar sentir rígido momento soporte arco inexistente recomeir caminata larga causar dolor pie suela duro amortiguar,1 star,0.5843271613121033
16,16,6,4,"Una historia muy interesante. La trama es original, pero el ritmo se sintió un poco lento en la mitad del libro. A pesar de eso, los personajes son entrañables y la prosa es muy descriptiva. Volvería a leer algo del autor. Es un buen libro para pasar el tiempo.",2024-06-04,historia interesante trama original ritmo sentir lento mitad libro personaje entrañabl prosa descriptivo volver leer autor libro pasar tiempo,3 stars,0.46233224868774414
