id_producto,nombre_producto,categoria,subcategoria,precio,descripcion
1,Laptop Gamer Pro,Electrónica,Portátiles,1899.99,"Laptop de alto rendimiento para gaming y creación de contenido. Cuenta con un procesador Intel Core i9 de última generación, 32GB de RAM DDR5 y una tarjeta gráfica NVIDIA RTX 4080. Su pantalla de 16 pulgadas con tasa de refresco de 240Hz y resolución QHD+ ofrece una experiencia visual inmersiva. El chasis de aluminio pulido y el sistema de enfriamiento avanzado garantizan un rendimiento óptimo incluso en las sesiones de juego más largas. Incluye un teclado mecánico retroiluminado con personalización RGB por tecla."
2,Smartphone Nexus 5G,Electrónica,Smartphones,899.50,"El Smartphone Nexus 5G redefine la experiencia móvil. Su pantalla OLED de 6.7 pulgadas con una frecuencia de 120Hz proporciona colores vibrantes y negros profundos. La cámara principal de 108MP, junto con un lente ultra gran angular y un teleobjetivo, captura fotos de calidad profesional en cualquier condición de iluminación. Equipado con un procesador Qualcomm Snapdragon 8 Gen 2, 12GB de RAM y una batería de 5000 mAh, este teléfono ofrece un rendimiento fluido y una autonomía excepcional. Soporta carga rápida de 65W."
3,Auriculares Inalámbricos X,Electrónica,Audio,125.00,"Auriculares Bluetooth de diadema diseñados para audiófilos. Cuentan con controladores de neodimio de 50mm que ofrecen un sonido de alta fidelidad con bajos ricos y agudos cristalinos. La tecnología de cancelación de ruido activa (ANC) reduce hasta un 95% del sonido ambiental, ideal para viajes o entornos de trabajo ruidosos. La batería de iones de litio proporciona hasta 40 horas de reproducción continua. El diseño ergonómico y las almohadillas de espuma viscoelástica garantizan la máxima comodidad durante horas de uso. Incluye un micrófono con tecnología de supresión de eco para llamadas claras."
4,Camiseta Deportiva Ultralight,Ropa,Camisetas,35.00,"Camiseta técnica de alto rendimiento para deportes. Fabricada con un tejido ligero y transpirable que absorbe la humedad y se seca rápidamente. Su corte atlético y las costuras planas evitan las rozaduras y maximizan la libertad de movimiento. El material es 100% poliéster reciclado, lo que la convierte en una opción sostenible y ecológica. Disponible en varios colores vibrantes. Perfecta para correr, ir al gimnasio o cualquier actividad física intensa."
5,Zapatillas Urbanas Fit,Ropa,Calzado,85.75,"Calzado deportivo y casual diseñado para el confort diario. La parte superior de malla transpirable y la suela de espuma de memoria se adaptan a la forma de tu pie, proporcionando un soporte inigualable y una amortiguación superior. La suela de goma duradera ofrece una excelente tracción en diversas superficies. Su diseño minimalista y elegante las hace ideales para combinar con cualquier atuendo, desde jeans hasta pantalones de deporte. Disponibles en tallas unisex."
6,Libro: El Círculo Mágico,Libros,Ficción,22.99,"Una novela de fantasía épica que te sumerge en el reino de Eterea. Sigue la historia de Elara, una joven maga que debe dominar un poder ancestral para salvar a su pueblo de un mal inminente. La autora teje una narrativa intrincada, llena de personajes complejos, criaturas mitológicas y giros inesperados. El mundo está construido con una riqueza de detalles que te hará sentir parte de él. Perfecto para los fans de las sagas de fantasía con temas de heroísmo, traición y redención."
7,Set de Ollas Premium,Hogar,Utensilios de Cocina,250.00,"Juego de 5 ollas de acero inoxidable de alta calidad. Cada olla cuenta con una base de triple capa para una distribución de calor rápida y uniforme, lo que previene los puntos calientes y asegura una cocción perfecta. Las asas de agarre frío remachadas ofrecen seguridad y durabilidad. Las tapas de vidrio templado con borde de acero permiten monitorear los alimentos sin perder vapor. Apto para todo tipo de estufas, incluyendo inducción, y es seguro para lavavajillas."
8,Balón de Fútbol Pro,Deportes,Accesorios Deportivos,45.50,"Balón de fútbol de alta calidad, diseñado para un rendimiento profesional. La cubierta texturizada de PU proporciona un agarre y control superiores. La cámara de aire de butilo retiene la presión del aire de manera uniforme, lo que asegura un rebote consistente. Sus paneles termosoldados minimizan la absorción de agua, permitiendo un rendimiento constante en cualquier clima. Ideal para entrenamientos y partidos de alta intensidad."
9,Mochila Urbana Tech,Ropa,Accesorios,65.00,"Mochila moderna y funcional para la vida urbana. Fabricada con poliéster repelente al agua. El compartimento principal cuenta con una funda acolchada para laptops de hasta 15.6 pulgadas. Incluye un bolsillo frontal con organizador, dos bolsillos laterales para botellas de agua y un puerto de carga USB integrado (power bank no incluido). Las correas acolchadas y ajustables, junto con el panel trasero transpirable, garantizan comodidad durante todo el día. El diseño es minimalista y unisex."
10,Cámara de Acción 4K,Electrónica,Cámaras,399.00,"Cámara de acción compacta y robusta capaz de grabar videos en 4K a 60fps. Equipada con un estabilizador de imagen digital (EIS) que elimina las vibraciones para videos suaves y fluidos. Es sumergible hasta 30 metros sin necesidad de una carcasa adicional. La pantalla táctil trasera facilita la navegación. Incluye varios soportes y una batería de larga duración. Ideal para deportes extremos, buceo y cualquier aventura."
